id,coin,pair,channel_name,best_ask_price,best_ask_whole_lot_volume,best_ask_lot_volume,best_bid_price,best_bid_whole_lot_volume,best_bid_lot_volume,close_price,close_lot_volume,volume_today,volume_last_24h,vwap_today,vwap_last_24h,number_of_trades_today,number_of_trades_last_24h,low_price_today,low_price_last_24h,high_price_today,high_price_last_24h,open_price_today,open_price_last_24h,received_at
1125899906842695,ETH,ETH/USD,ticker,2646.29000000,123,123.56829719,2646.28000000,1,1.38837727,2646.29000000,3.36270621,624.54395122,5940.69378473,2644.97170000,2643.44840000,2715,12243,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2626.10000000,2024-10-19 09:33:28
2251799813685295,SOL,SOL/USD,ticker,154.73000000,458,458.80715113,154.72000000,908,908.99229970,154.73000000,4.82655903,16875.29400674,179493.19569790,154.71680000,154.70495000,3703,16323,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.47000000,2024-10-19 10:05:25
1125899906842757,XBT,XBT/USD,ticker,68318.60000000,0,0.00034150,68318.50000000,13,13.04647090,68318.60000000,0.00055025,168.97408409,1108.79014238,68420.70006000,68499.30054000,6726,27596,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67762.70000000,2024-10-19 10:06:15
1125899906842627,ETH,ETH/USD,ticker,2646.26000000,0,0.60542513,2646.25000000,111,111.60072623,2646.26000000,0.04285180,620.33497214,5942.01397764,2644.96277000,2643.43189000,2704,12275,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2629.92000000,2024-10-19 09:27:31
2251799813685249,SOL,SOL/USD,ticker,154.77000000,217,217.73139717,154.76000000,76,76.58341586,154.77000000,0.22906000,16488.37314073,179325.63137417,154.71646000,154.70349000,3587,16482,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.82000000,2024-10-19 09:27:31
1125899906842681,XBT,XBT/USD,ticker,68378.70000000,5,5.23298786,68378.60000000,0,0.01061224,68378.60000000,0.00027776,158.22466725,1116.92368376,68426.56354000,68488.86599000,6352,27567,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67840.40000000,2024-10-19 09:32:20
2251799813685258,XBT,XBT/USD,ticker,68343.80000000,0,0.02935253,68343.70000000,0,0.04444765,68343.80000000,0.00091128,163.60472048,1103.53923802,68424.01004000,68500.09508000,6626,27525,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67765.70000000,2024-10-19 09:59:16
2251799813685262,XBT,XBT/USD,ticker,68343.80000000,0,0.38862144,68343.70000000,0,0.05000000,68343.80000000,0.00004325,163.60476373,1103.53573251,68424.01002000,68500.09743000,6627,27524,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67765.80000000,2024-10-19 10:00:09
2251799813685265,SOL,SOL/USD,ticker,154.73000000,659,659.25069011,154.72000000,293,293.86470512,154.72000000,0.03482000,16666.55922924,179298.39610606,154.71665000,154.70483000,3689,16325,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.46000000,2024-10-19 10:00:45
1125899906842768,XBT,XBT/USD,ticker,68320.00000000,0,0.03269843,68319.90000000,14,14.32906605,68319.90000000,0.00010000,168.97548409,1108.68154238,68420.69922000,68499.37340000,6735,27596,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67762.60000000,2024-10-19 10:06:40
1125899906842639,XBT,XBT/USD,ticker,68402.60000000,6,6.69511914,68402.50000000,0,0.43268455,68402.50000000,0.00029229,155.85555296,1118.84832638,68427.10499000,68486.88655000,6299,27589,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:28:29
1125899906842697,XBT,XBT/USD,ticker,68378.70000000,9,9.92670592,68378.60000000,0,0.00774020,68378.60000000,0.00015600,158.24256723,1116.92611149,68426.55812000,68488.87319000,6363,27567,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67843.30000000,2024-10-19 09:33:34
1125899906842730,XBT,XBT/USD,ticker,68318.60000000,0,0.00400000,68318.50000000,10,10.08950783,68318.50000000,0.15320000,168.89982559,1108.71882127,68420.74499000,68499.31071000,6715,27587,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67764.60000000,2024-10-19 10:04:51
1125899906842752,ETH,ETH/USD,ticker,2644.40000000,0,0.00200000,2644.39000000,153,153.36853800,2644.39000000,0.16000000,632.10110655,5613.04067685,2644.97544000,2644.69042000,2783,12093,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.89000000,2024-10-19 10:05:29
1125899906842767,XBT,XBT/USD,ticker,68320.00000000,0,0.03269843,68319.90000000,14,14.32916605,68319.90000000,0.00010000,168.97538409,1108.68144238,68420.69928000,68499.37342000,6734,27595,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67762.60000000,2024-10-19 10:06:40
1125899906842791,ETH,ETH/USD,ticker,2644.40000000,0,0.75256081,2644.39000000,157,157.70350908,2644.39000000,0.27057345,632.63986431,5613.56277104,2644.97495000,2644.69045000,2790,12099,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.89000000,2024-10-19 10:08:40
1125899906842645,ETH,ETH/USD,ticker,2646.29000000,0,0.10563423,2646.28000000,117,117.59565522,2646.29000000,0.00540052,620.99409569,5942.65735499,2644.96416000,2643.43224000,2707,12271,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2629.13000000,2024-10-19 09:28:43
1125899906842682,XBT,XBT/USD,ticker,68378.70000000,5,5.23298786,68378.60000000,0,0.01017362,68378.60000000,0.00043862,158.22510587,1116.92350364,68426.56341000,68488.86630000,6353,27567,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67840.40000000,2024-10-19 09:32:23
1125899906842699,XBT,XBT/USD,ticker,68375.30000000,9,9.10307114,68375.20000000,0,0.00784020,68375.30000000,0.00100000,158.25288695,1116.93591827,68426.55478000,68488.87244000,6365,27568,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67837.20000000,2024-10-19 09:33:45
2251799813685251,ETH,ETH/USD,ticker,2645.35000000,0,0.96593985,2645.34000000,138,138.18595486,2645.35000000,0.08902299,627.57119241,5626.56507220,2644.97621000,2644.62678000,2752,12072,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.90000000,2024-10-19 09:58:22
2251799813685255,XBT,XBT/USD,ticker,68343.80000000,0,0.02780062,68343.70000000,0,0.04444765,68343.80000000,0.00146319,163.60180920,1103.53632674,68424.01147000,68500.09549000,6623,27522,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67765.70000000,2024-10-19 09:58:53
2251799813685284,ETH,ETH/USD,ticker,2645.22000000,157,157.08164591,2644.08000000,0,0.14833136,2644.08000000,0.01223764,630.31610120,5611.25567150,2644.97779000,2644.69060000,2772,12082,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.89000000,2024-10-19 10:02:54
1125899906842754,XBT,XBT/USD,ticker,68318.60000000,0,0.00303879,68318.50000000,12,12.41245990,68318.60000000,0.00018730,168.97138680,1108.78831768,68420.70169000,68499.30040000,6721,27592,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67764.60000000,2024-10-19 10:06:01
1125899906842644,XBT,XBT/USD,ticker,68402.60000000,6,6.24211914,68402.50000000,0,0.43053599,68402.50000000,0.00137353,155.85770152,1118.85047494,68427.10465000,68486.88639000,6302,27592,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:28:40
1125899906842672,XBT,XBT/USD,ticker,68394.10000000,0,0.18525871,68394.00000000,0,0.03695851,68394.00000000,0.00014149,158.22228435,1117.43133221,68426.56422000,68488.57346000,6345,27606,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67911.80000000,2024-10-19 09:31:30
1125899906842711,SOL,SOL/USD,ticker,154.73000000,666,666.85071402,154.72000000,704,704.41928938,154.72000000,4.22300817,16655.19438533,179296.76479487,154.71664000,154.70476000,3686,16352,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.50000000,2024-10-19 09:58:22
2251799813685272,XBT,XBT/USD,ticker,68322.00000000,0,0.06706348,68321.90000000,0,0.04436180,68322.00000000,0.00008239,165.01164788,1104.90538284,68423.15232000,68499.89730000,6652,27541,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:01:29
1125899906842724,XBT,XBT/USD,ticker,68318.60000000,0,0.00400000,68318.50000000,10,10.30883161,68318.50000000,0.39700000,167.99942559,1107.88718427,68421.29298000,68499.41238000,6709,27594,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:04:41
1125899906842729,XBT,XBT/USD,ticker,68318.60000000,0,0.00400000,68318.50000000,10,10.02357760,68318.50000000,0.00010000,168.74662559,1108.56562127,68420.83781000,68499.33569000,6714,27586,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67764.60000000,2024-10-19 10:04:49
2251799813685296,SOL,SOL/USD,ticker,154.73000000,148,148.59915733,154.72000000,913,913.17235154,154.73000000,51.70133230,17185.50200054,179803.40369170,154.71704000,154.70499000,3709,16329,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.47000000,2024-10-19 10:05:25
1125899906842798,XBT,XBT/USD,ticker,68347.70000000,0,0.70544578,68347.60000000,0,0.23653637,68347.70000000,0.00064422,171.38304932,1110.66037659,68419.58826000,68499.31600000,6780,27616,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67755.90000000,2024-10-19 10:09:37
1125899906842625,XBT,XBT/USD,ticker,68402.60000000,6,6.68535656,68402.50000000,0,0.44958457,68402.50000000,0.00034934,155.81133560,1118.82460902,68427.11196000,68486.87898000,6292,27584,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.90000000,2024-10-19 09:27:31
1125899906842659,XBT,XBT/USD,ticker,68402.60000000,9,9.07395356,68402.50000000,0,0.42467572,68402.60000000,0.00811935,156.20612922,1119.19890264,68427.04999000,68486.86015000,6320,27610,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:29:27
1125899906842675,XBT,XBT/USD,ticker,68382.10000000,4,4.51467458,68381.70000000,0,0.01089000,68381.70000000,0.00011000,158.22249435,1116.92177752,68426.56416000,68488.86604000,6347,27564,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67840.40000000,2024-10-19 09:31:58
1125899906842706,SOL,SOL/USD,ticker,154.66000000,576,576.25155027,154.65000000,6,6.47400000,154.66000000,0.86000000,16583.00096389,179390.85025073,154.71659000,154.70364000,3624,16452,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.61000000,2024-10-19 09:35:05
2251799813685269,SOL,SOL/USD,ticker,154.73000000,708,708.17643172,154.72000000,70,70.47423857,154.72000000,6.46328852,16673.02251776,179303.49095981,154.71665000,154.70484000,3690,16325,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.45000000,2024-10-19 10:01:06
2251799813685278,XBT,XBT/USD,ticker,68320.10000000,0,0.01531980,68318.50000000,0,0.09280673,68320.00000000,0.04436303,165.93889307,1105.82702691,68422.58740000,68499.75193000,6671,27557,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.20000000,2024-10-19 10:02:27
2251799813685290,XBT,XBT/USD,ticker,68315.30000000,9,9.79481780,68315.20000000,6,6.54577253,68315.20000000,0.00549391,166.08723702,1105.97499570,68422.49401000,68499.72781000,6684,27569,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:03:34
2251799813685293,XBT,XBT/USD,ticker,68315.30000000,13,13.55746612,68315.20000000,6,6.51745979,68315.20000000,0.00100000,166.11554976,1106.00330844,68422.47572000,68499.72308000,6686,27571,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:04:05
1125899906842712,XBT,XBT/USD,ticker,68315.30000000,13,13.55746612,68315.20000000,5,5.93499470,68315.20000000,0.29133284,166.69801485,1106.58577353,68422.10089000,68499.62596000,6688,27573,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:04:05
1125899906842747,SOL,SOL/USD,ticker,154.73000000,200,200.30048963,154.72000000,913,913.17235154,154.73000000,51.70133230,17133.80066824,179751.70235940,154.71700000,154.70499000,3708,16328,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.47000000,2024-10-19 10:05:25
1125899906842758,ETH,ETH/USD,ticker,2644.40000000,0,0.65200000,2644.39000000,191,191.78740104,2644.39000000,0.03285122,632.13395777,5613.07352807,2644.97541000,2644.69042000,2784,12094,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.89000000,2024-10-19 10:06:18
1125899906842761,XBT,XBT/USD,ticker,68320.00000000,0,0.03269843,68319.90000000,12,12.78487145,68319.90000000,0.00010000,168.97428409,1108.68034238,68420.69994000,68499.37359000,6728,27589,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67762.60000000,2024-10-19 10:06:33
1125899906842772,XBT,XBT/USD,ticker,68320.00000000,0,0.03269843,68319.90000000,14,14.50315239,68319.90000000,0.00010000,168.97578409,1108.68184238,68420.69904000,68499.37335000,6738,27599,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67762.60000000,2024-10-19 10:06:46
1125899906842629,XBT,XBT/USD,ticker,68402.60000000,6,6.66113754,68402.50000000,0,0.44958457,68402.60000000,0.02421602,155.83555162,1118.83852504,68427.10815000,68486.88264000,6293,27584,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.90000000,2024-10-19 09:27:58
1125899906842657,XBT,XBT/USD,ticker,68402.60000000,7,7.19916921,68402.50000000,0,0.42467572,68402.60000000,0.07411678,156.19800987,1119.19078329,68427.05126000,68486.86076000,6319,27609,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:29:17
1125899906842666,XBT,XBT/USD,ticker,68402.60000000,5,5.59288748,68402.50000000,0,0.41934031,68402.50000000,0.00365436,156.21558053,1115.42978371,68427.04851000,68488.75019000,6325,27589,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67922.40000000,2024-10-19 09:30:23
2251799813685257,ETH,ETH/USD,ticker,2645.35000000,0,0.88103624,2645.34000000,132,132.29756304,2645.35000000,0.03780218,627.65609602,5626.64997581,2644.97626000,2644.62679000,2754,12074,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.90000000,2024-10-19 09:59:12
1125899906842777,SOL,SOL/USD,ticker,154.82000000,85,85.15364376,154.81000000,583,583.85940954,154.82000000,21.14802480,17356.01442267,179967.23782517,154.71728000,154.70507000,3724,16340,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.45000000,2024-10-19 10:07:55
1125899906842782,SOL,SOL/USD,ticker,154.82000000,82,82.30922148,154.81000000,809,809.94381834,154.82000000,2.09442228,17358.85884495,179970.08224745,154.71730000,154.70508000,3728,16344,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.45000000,2024-10-19 10:08:12
